"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","test_thread_list[thread_list2]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestThreadList","test_threadIist","",""
"","6","test_login_fail[login2]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestLogin","test_login","",""
"","11","test_thread_list[thread_list0]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestThreadList","test_threadIist","",""
"","5","test_post[post1]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestPost","test_postaNewThread","",""
"","8","test_get_reply_list[reply_list2]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestReplyList","test_articleDetails","",""
"","8","test_get_reply_list[reply_list1]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestReplyList","test_articleReply","",""
"","6","test_login_fail[login3]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestLogin","test_login","",""
"","5","test_login_success[login1]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestLogin","test_login","",""
"","6","test_login_fail[login4]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestLogin","test_login","",""
"","10","test_login_fail[login0]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestLogin","test_login","",""
"","9","test_thread_list[thread_list1]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestThreadList","test_threadIist","",""
"","7","test_login_fail[login1]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestLogin","test_login","",""
"","5","test_post[post0]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestPost","test_postaNewThread","",""
"","5","test_login_success[login0]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestLogin","test_login","",""
"","8","test_get_reply_list[reply_list1]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestReplyList","test_articleDetails","",""
"","10","test_get_reply_list[reply_list0]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestReplyList","test_articleDetails","",""
"","3","test_post_nologin","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestPost","test_postaNewThread","",""
"","8","test_get_reply_list[reply_list2]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestReplyList","test_articleReply","",""
"","10","test_get_reply_list[reply_list0]","cases","Sat Feb 14 19:53:47 CST 2026","passed","Sat Feb 14 19:53:47 CST 2026","TestReplyList","test_articleReply","",""
